technique,banglasarc3_binary,banglasarc3_ternary,banglasarc_binary,ben_sarc_binary,mean
plain_baseline (nb05),0.7665683489629946,,0.9834144758195392,0.8018330087633885,0.8506052778486408
supcon_joint,0.7605746804739248,0.6537053002666204,0.983401413473384,0.8025510704134637,0.8000581161568483
best_rdrop_ls (nb10),0.7442995805461765,0.6577596300827258,0.9813452624334554,0.8048883293899844,0.7970732006130856
supcon_twostage,0.7294226478750612,0.4140306908397651,0.9813452624334554,0.3333333333333333,0.6145329836204038
