model,banglasarc3_binary,banglasarc_binary,ben_sarc_binary,mean
BanglaBERT + FGM,0.7693091090017181,0.9854615668569158,0.8096719236760124,0.8548141998448822
BanglaBERT,0.7368156658304548,0.9854907596704654,0.7998998078153858,0.8407354111054354
MuRIL,0.7355802727182243,0.977107086966242,0.7761652894176483,0.8296175497007049
XLM-RoBERTa,0.7305912212600776,0.9445654135338346,0.7613104524180967,0.8121556957373363
Sagorsarker BB,0.7281643365341559,0.948671679197995,0.7512467226079321,0.8093609127800278
mBERT,0.7280104044156539,0.9447621102600066,0.7496114730659159,0.8074613292471922
TF-IDF + LogReg,0.6706918755482558,0.8806160643063141,0.6645833181219685,0.7386304193255128
