rank,model,binary_mean_f1,ternary_f1,overall_mean
1,BanglaBERT + FGM,0.8548141998448822,,0.8548141998448822
2,BanglaBERT,0.8407354111054354,0.6586655915800528,0.749700501342744
3,TF-IDF + LogReg,0.7386304193255128,,0.7386304193255128
4,MuRIL,0.8296175497007049,0.6304625199362042,0.7300400348184546
5,mBERT,0.8074613292471922,0.6094939096672154,0.7084776194572038
6,XLM-RoBERTa,0.8121556957373363,0.6003453668303308,0.7062505312838335
7,Sagorsarker BB,0.8093609127800278,0.6023690353385095,0.7058649740592686
