technique,banglasarc3_binary,banglasarc3_ternary,banglasarc_binary,ben_sarc_binary,mean
fgm_baseline (nb06),0.7880088316696209,,0.9896030438055708,0.8022293297420799,0.8599470684057572
plain_baseline (nb05),0.7665683489629946,,0.9834144758195392,0.8018330087633885,0.8506052778486408
rdrop_plus_ls,0.7431405472636816,0.6577596300827258,0.9813452624334554,0.8016959337039937,0.7959853433709642
rdrop,0.7381480997779809,0.6561284140260085,0.9813452624334554,0.8048883293899844,0.7951275264068574
label_smoothing,0.7442995805461765,0.6404841754398897,0.9752002066649444,0.7962849315068493,0.789067223539465
